char_code	char	start	width	advance	glyph_ptr	half_res	glyph_data_hex
0x6A	j	5	13	6	0x0EFA2	0	0004 000A 0005 0000 0801 0000 0801 0000 0803 C004 0FFA C004 0FF8
0x6B	k	2	20	2	0x0EFBC	0	8008 0000 8008 7FF0 0008 FFF0 0008 0080 0008 0100 0880 0240 0880 0468 0810 0028 0810 0008 0800 0008
0x6C	l	5	15	4	0x0EFE4	0	0008 8000 0008 8000 0008 8000 7FF8 0000 FFF8 0000 0008 0000 0008 0000 0008
0x6D	m	1	21	2	0x0F002	0	0808 07F0 0808 07F0 0008 0400 0000 0800 0408 0BF0 0408 03F0 0408 0800 0000 0800 0408 0BF0 0408 03F0 0008
0x6E	n	2	20	2	0x0F02C	0	0808 0000 0FF8 0000 0FF8 0000 0408 0000 0800 0000 0800 0000 0800 0008 0C00 03F8 0400 03F8 0000 0008
0x6F	o	2	19	3	0x0F054	0	01C0 0220 05D0 0220 0410 0808 0000 0808 0000 0808 0000 0808 0000 0808 0410 0220 05D0 0220 01C0
0x70	p	2	20	2	0x0F07A	0	0801 0000 0801 07FE 0001 0FFE 0001 0410 0001 0808 0001 0808 0000 0808 0000 0C18 0220 05D0 0220 01C0
0x71	q	3	20	1	0x0F0A2	0	01C0 0220 05D0 0220 0C18 0000 0808 0000 0808 0001 0808 0001 0410 0001 07FE 0001 0FFE 0001 0000 0001
0x72	r	3	18	3	0x0F0CA	0	0808 0000 0808 0000 0FF8 0000 0DF8 0200 0008 0400 0008 0800 0008 0800 0000 0E00 0000 0600
0x73	s	4	17	3	0x0F0EE	0	0238 0500 0210 0D80 0008 0880 0008 0880 0008 0880 0008 0880 0008 04C0 0038 0E40 0030
0x74	t	3	17	4	0x0F110	0	0800 0000 0800 0000 0800 37E0 0810 77E8 0810 0008 0800 0008 0800 0008 0800 0010 0020
0x75	u	2	20	2	0x0F132	0	0800 0000 0FE0 0010 0FE0 0018 0000 0008 0000 0008 0000 0008 0000 0810 0000 0FF8 0000 0FF8 0000 0008
